,COMMUNITY_NAME,TOTAL_POP_HOUSEHOLD,POP_AGE_0_TO_14,POP_AGE_15_TO_64,POP_AGE_65_TO_84,POP_AGE_85_AND_OVER,POP_AGE_0_TO_14_PERCENT,POP_AGE_15_TO_64_PERCENT,POP_AGE_65_TO_84_PERCENT,POP_AGE_85_AND_OVER_PERCENT,POP_AGE_0_TO_4,POP_AGE_5_TO_9,POP_AGE_10_TO_14,POP_AGE_15_TO_19,POP_AGE_20_TO_24,POP_AGE_25_TO_29,POP_AGE_30_TO_34,POP_AGE_35_TO_39,POP_AGE_40_TO_44,POP_AGE_45_TO_49,POP_AGE_50_TO_54,POP_AGE_55_TO_59,POP_AGE_60_TO_64,POP_AGE_65_TO_69,POP_AGE_70_TO_74,POP_AGE_75_TO_79,POP_AGE_80_TO_84,POP_AGE_85_TO_89,POP_AGE_90_TO_94,POP_AGE_95_TO_99,POP_AGE_100_AND_OVER,POP_AGE_0_TO_4_PERCENT,POP_AGE_5_TO_9_PERCENT,POP_AGE_10_TO_14_PERCENT,POP_AGE_15_TO_19_PERCENT,POP_AGE_20_TO_24_PERCENT,POP_AGE_25_TO_29_PERCENT,POP_AGE_30_TO_34_PERCENT,POP_AGE_35_TO_39_PERCENT,POP_AGE_40_TO_44_PERCENT,POP_AGE_45_TO_49_PERCENT,POP_AGE_50_TO_54_PERCENT,POP_AGE_55_TO_59_PERCENT,POP_AGE_60_TO_64_PERCENT,POP_AGE_65_TO_69_PERCENT,POP_AGE_70_TO_74_PERCENT,POP_AGE_75_TO_79_PERCENT,POP_AGE_80_TO_84_PERCENT,POP_AGE_85_TO_89_PERCENT,POP_AGE_90_TO_94_PERCENT,POP_AGE_95_TO_99_PERCENT,POP_AGE_100_AND_OVER_PERCENT,TOTAL_POP_MEN,POP_MEN_0_TO_4,POP_MEN_5_TO_9,POP_MEN_10_TO_14,POP_MEN_15_TO_19,POP_MEN_20_TO_24,POP_MEN_25_TO_29,POP_MEN_30_TO_34,POP_MEN_35_TO_39,POP_MEN_40_TO_44,POP_MEN_45_TO_49,POP_MEN_50_TO_54,POP_MEN_55_TO_59,POP_MEN_60_TO_64,POP_MEN_65_TO_69,POP_MEN_70_TO_74,POP_MEN_75_TO_79,POP_MEN_80_TO_84,POP_MEN_85_TO_89,POP_MEN_90_TO_94,POP_MEN_95_TO_99,POP_MEN_100_AND_OVER
,EAGLE RIDGE,260,0,160,75,0,0,62,29,0,0,0,0,0,35,10,0,0,0,0,20,25,50,35,15,0,25,0,0,0,0,0,0,0,0,13,4,0,0,0,0,8,10,19,13,6,0,10,0,0,0,0,115,0,0,0,0,15,0,0,0,0,0,10,10,20,10,10,0,15,0,0,0,0
,SHEPARD INDUSTRIAL,265,10,190,55,0,4,72,21,0,0,0,10,25,15,10,15,10,25,0,15,30,45,40,15,0,0,0,0,0,0,0,0,4,9,6,4,6,4,9,0,6,11,17,15,6,0,0,0,0,0,0,150,0,0,10,0,10,10,0,0,15,0,15,15,20,20,10,0,0,0,0,0,0
,MAYFAIR,410,80,240,50,30,20,59,12,7,35,30,15,45,0,0,0,20,15,25,35,25,55,40,10,0,0,20,10,0,0,9,7,4,11,0,0,0,5,4,6,9,6,13,10,2,0,0,5,2,0,0,215,20,25,0,30,0,0,0,10,10,15,15,15,15,25,10,0,0,0,0,0,0
,SCARBORO/ SUNALTA WEST,465,95,290,55,10,20,62,12,2,35,50,15,35,10,0,10,15,60,40,50,45,25,20,15,0,20,0,10,0,0,8,11,3,8,2,0,2,3,13,9,11,10,5,4,3,0,4,0,2,0,0,240,15,15,10,20,10,0,10,0,30,25,30,25,20,10,0,0,10,0,0,0,0
,ROXBORO,415,80,225,90,10,19,54,22,2,15,15,50,20,10,10,10,15,25,30,40,35,20,20,40,15,15,0,0,0,0,4,4,12,5,2,2,2,4,6,7,10,8,5,5,10,4,4,0,0,0,0,230,0,15,30,20,10,10,10,10,10,20,15,15,15,10,25,0,10,0,0,0,0
,KELVIN GROVE,"1,805",300,"1,200",245,50,17,66,14,3,85,110,105,105,100,90,120,140,165,115,95,155,125,85,65,30,65,20,20,0,0,5,6,6,6,6,5,7,8,9,6,5,9,7,5,4,2,4,1,1,0,0,905,35,75,55,45,50,55,50,60,105,50,45,80,50,55,45,0,20,0,10,0,0
,ROSEMONT,"1,155",155,785,185,30,13,68,16,3,40,45,65,20,35,90,90,50,80,105,55,80,180,90,40,20,35,10,25,0,0,3,4,6,2,3,8,8,4,7,9,5,7,16,8,3,2,3,1,2,0,0,550,25,15,30,0,20,45,45,25,35,60,30,35,80,50,20,0,20,0,10,0,0
,QUEENS PARK VILLAGE,375,60,285,30,0,16,76,8,0,10,20,30,25,45,35,35,45,10,25,10,25,30,15,15,0,0,0,0,0,0,3,5,8,7,12,9,9,12,3,7,3,7,8,4,4,0,0,0,0,0,0,140,10,0,10,10,20,10,15,20,0,10,0,0,0,15,0,0,0,0,0,0,0
,HIGHWOOD,"2,205",415,"1,515",205,75,19,69,9,3,185,95,130,145,105,125,160,225,160,135,95,175,190,105,35,25,40,50,25,0,0,8,4,6,7,5,6,7,10,7,6,4,8,9,5,2,1,2,2,1,0,0,"1,140",105,50,60,75,60,45,90,115,105,90,50,80,80,70,20,0,15,20,10,0,0
,ERLTON,"1,280",125,990,160,0,10,77,13,0,55,45,30,40,35,120,150,170,135,85,75,70,115,80,65,15,0,0,0,0,0,4,4,2,3,3,9,12,13,11,7,6,5,9,6,5,1,0,0,0,0,0,635,30,25,15,30,15,50,55,90,80,35,35,40,60,30,40,0,0,0,0,0,0
,CARRINGTON,"2,750",760,"1,920",55,0,28,70,2,0,290,250,220,160,105,245,320,385,255,180,120,70,75,40,15,0,0,0,0,0,0,11,9,8,6,4,9,12,14,9,7,4,3,3,1,1,0,0,0,0,0,0,"1,370",130,110,145,80,60,115,120,190,155,85,65,40,30,25,15,0,0,0,0,0,0
,NOLAN HILL,"8,755","2,365","6,060",325,15,27,69,4,0,885,790,690,580,520,510,885,"1,055",835,625,490,390,165,165,85,40,35,0,15,0,0,10,9,8,7,6,6,10,12,10,7,6,4,2,2,1,0,0,0,0,0,0,"4,315",430,400,370,280,300,225,395,470,400,330,260,200,95,90,50,0,20,0,0,0,0
,TUXEDO PARK,"5,165",725,"3,805",575,65,14,74,11,1,295,230,200,140,315,480,615,585,415,350,335,310,260,210,165,80,120,40,10,10,0,6,4,4,3,6,9,12,11,8,7,6,6,5,4,3,2,2,1,0,0,0,"2,665",165,110,105,85,155,240,340,305,200,165,210,150,130,110,80,40,50,15,0,0,0
,BELMONT,800,160,610,20,0,20,76,3,0,55,55,55,50,55,70,95,90,85,65,40,30,35,20,0,0,0,0,0,0,0,7,7,7,6,7,9,12,11,11,8,5,4,4,3,0,0,0,0,0,0,0,385,25,30,25,15,35,35,45,40,50,30,20,15,15,10,0,0,0,0,0,0,0
,MANCHESTER,950,130,790,25,0,14,83,3,0,80,30,20,0,120,180,165,75,65,55,40,50,30,25,0,0,0,0,0,0,0,8,3,2,0,13,19,17,8,7,6,4,5,3,3,0,0,0,0,0,0,0,510,60,15,0,0,55,90,90,50,40,15,20,25,30,0,0,0,0,0,0,0,0
